tconst,averageRating,numVotes
tt0192111,5.4,15305
tt0192255,5.7,11516
tt0192407,4.3,1644
tt0192455,4.7,3924
tt0192614,5.6,33724
tt0192731,4.4,18975
tt0192788,6.4,1376
tt0192949,5.7,1800
tt0193364,4.6,9368
tt0193560,5.2,6322
tt0193741,5.9,1388
tt0193854,6.2,2465
tt0194104,7.0,2997
tt0194218,6.7,9050
tt0194368,6.0,4346
tt0195234,6.9,19336
tt0195685,7.4,221724
tt0195714,6.7,279894
tt0195778,5.2,8897
tt0195945,6.1,44144
tt0196069,7.7,8254
tt0196106,4.2,2752
tt0196158,3.5,7740
tt0196216,6.7,40680
tt0196219,2.2,1259
tt0196223,5.3,1300
tt0196229,6.5,292178
tt0196614,3.5,1187
tt0196708,6.2,2735
tt0196723,5.6,1462
tt0196811,6.5,3649
tt0197096,6.8,2916
tt0197384,5.8,3516
tt0197402,6.6,1446
tt0197750,3.9,2399
tt0198021,6.7,36389
tt0198386,5.6,6689
tt0198781,8.1,980072
tt0199290,4.7,3697
tt0199314,5.9,6799
tt0199481,2.7,5430
tt0199626,5.4,26492
tt0199650,4.0,1099
tt0199725,7.2,24351
tt0199727,6.4,5750
tt0199753,5.7,59948
tt0199974,4.8,1170
tt0200027,6.5,30578
tt0200192,5.4,6472
tt0200299,6.0,1504
tt0200427,6.9,1808
tt0200465,7.2,189281
tt0200472,5.6,2410
tt0200530,6.6,5892
tt0200550,5.7,121017
tt0200669,5.9,4608
tt0200720,7.0,8090
tt0201394,5.1,1592
tt0201485,5.3,9510
tt0201694,2.6,1148
tt0201844,2.5,4554
tt0201899,6.8,1664
tt0202314,3.2,1330
tt0202402,5.5,12020
tt0202470,6.3,45323
tt0202623,5.4,4970
tt0202641,7.2,1731
tt0202677,6.6,35247
tt0203009,7.6,299579
tt0203019,7.2,125243
tt0203119,7.3,69417
tt0203166,7.4,24370
tt0203230,7.5,31438
tt0203289,6.6,1669
tt0203540,6.8,6562
tt0203632,7.4,14951
tt0203755,6.2,31325
tt0203940,3.9,3211
tt0203975,4.7,3500
tt0204055,6.9,1093
tt0204137,6.6,14661
tt0204175,5.4,17609
tt0204313,5.1,39819
tt0204322,5.1,1021
tt0204350,4.9,1395
tt0204626,5.3,28500
tt0204640,6.7,3517
tt0204700,5.9,9317
tt0204761,5.6,2030
tt0204932,7.3,4484
tt0204946,6.1,105929
tt0205177,5.7,14538
tt0205271,4.7,20276
tt0205418,2.9,2877
tt0205461,4.2,4773
tt0205873,7.2,17109
