tconst,producer
tt0173716,"nm0135847,nm0275836,nm0850516"
tt0173840,"nm0014470,nm0497019,nm0756991"
tt0174336,nm0169680
tt0174480,"nm0524342,nm0732364,nm0742347"
tt0175142,"nm0324970,nm0562598"
tt0176694,"nm4755425,nm0583780"
tt0176783,"nm0628352,nm0798711"
tt0177650,"nm0247524,nm0498563,nm0006597,nm0804739"
tt0177845,nm0447189
tt0177858,"nm0775831,nm0777978"
tt0177882,"nm0775831,nm0777978"
tt0177971,"nm0441713,nm0000583,nm0918463"
tt0178043,"nm0074851,nm0527325"
tt0178050,"nm0513165,nm0513170"
tt0178642,"nm0153892,nm0917059"
tt0179098,"nm0425741,nm0797869"
tt0179183,nm0282472
tt0179443,"nm0662500,nm1623493"
tt0179473,"nm0292875,nm0368714"
tt0179626,"nm0011688,nm0088780,nm0381273,nm0917059"
tt0179861,nm0065887
tt0180052,"nm13613139,nm0106840,nm0106841,nm0834870"
tt0180073,"nm0153892,nm0442239,nm0917059"
tt0180093,"nm0914615,nm0922279"
tt0180679,nm0819089
tt0180734,"nm0630567,nm0005367,nm0866132"
tt0180837,"nm0057025,nm0057027"
tt0181151,"nm0532650,nm0001566,nm0788009"
tt0181536,"nm0000125,nm0548257,nm0866104"
tt0181689,"nm0193268,nm0000957,nm0596520,nm0662748"
tt0181739,"nm0219550,nm0125803,nm0268380,nm0672015"
tt0181836,"nm0022913,nm0060889,nm0592684"
tt0181852,"nm0440830,nm0509386,nm0584382,nm0883351"
tt0181865,"nm0081046,nm0380980,nm0001880"
tt0181875,"nm0117290,nm0001081"
tt0181912,"nm0764963,nm0906935"
tt0181984,"nm0865189,nm0865297"
tt0182000,"nm0000362,nm0291082,nm0759627,nm0787834"
tt0182295,"nm0057655,nm0000110"
tt0182508,"nm0325497,nm0364787,nm0790398"
tt0183056,"nm0192770,nm0764963,nm0815081"
tt0183505,"nm0125803,nm0268380,nm0858554"
tt0183523,nm0414930
tt0183649,"nm0626696,nm0001878"
tt0183659,"nm0076681,nm0000438,nm0453091,nm1053363"
tt0183790,"nm0085542,nm0001338,nm0887800"
tt0183869,"nm0000108,nm0702466,nm0702467"
tt0184791,"nm0294944,nm0321218,nm0722603"
tt0184858,"nm0441794,nm0601031,nm12695419,nm0918424"
tt0184894,"nm0053388,nm0083696,nm0322802"
tt0184907,"nm0372935,nm0685597"
tt0185014,"nm0000436,nm0748784"
tt0185183,"nm0006790,nm0759627,nm0000237"
tt0185431,"nm0316406,nm0800465"
tt0186045,"nm0179959,nm0615890,nm0742386"
tt0186151,"nm0140011,nm0256497,nm0387706,nm0462242"
tt0186183,"nm0373360,nm0724678"
tt0186566,"nm0000142,nm0493662"
tt0186589,nm0277704
tt0186894,"nm0078698,nm0326512"
tt0186895,nm0332161
tt0186975,"nm0459852,nm0895903"
tt0187078,"nm0000988,nm0826679"
tt0187251,"nm0588387,nm0891527"
tt0187393,"nm0002041,nm0330428,nm0506013"
tt0187512,"nm0256134,nm0004927,nm0454908,nm0609265"
tt0187696,"nm0165361,nm0932731,nm0944230"
tt0187738,"nm0291293,nm0470727,nm0658404,nm0000648"
tt0188055,"nm0759627,nm0002989,nm0882142"
tt0188128,"nm0110357,nm0427827"
tt0188453,"nm0008937,nm0125355,nm0680355"
tt0189192,"nm0496628,nm0582338"
tt0189456,"nm0071611,nm0167316,nm0264629"
tt0189541,"nm1148727,nm0589488"
tt0189998,"nm0000115,nm0505835"
tt0190138,"nm0442075,nm0932303"
tt0190332,"nm0398836,nm0465067,nm0000487"
tt0190346,nm0000108
tt0190374,"nm0358411,nm0416164,nm0813309"
tt0190524,"nm0329123,nm0482510,nm0482511,nm0003515"
tt0190590,nm0001053
tt0190861,"nm0004347,nm0423646"
tt0190865,"nm0132709,nm0455207,nm0621587,nm0680595"
tt0190938,nm0269094
tt0191037,"nm0316459,nm0490063"
tt0191074,nm0541548
tt0191133,"nm0301835,nm0428699,nm0575656,nm0689385"
tt0191397,nm0783346
tt0191636,"nm0109393,nm0499448"
tt0191754,nm0867768
tt0191996,nm0691131
tt0192023,"nm0885612,nm0002359,nm0932144"
tt0192071,"nm0122800,nm0124652,nm0271162"
tt0192111,nm0800465
tt0192255,nm0165290
tt0192407,nm0339657
tt0192455,nm0761296
tt0192614,"nm0605775,nm0688282"
tt0192731,"nm0560033,nm0605775,nm0745304"
tt0192788,"nm1256362,nm0206752,nm0408214,nm0598675"
tt0192949,"nm0487190,nm0730629"
tt0193364,"nm0503592,nm0503600,nm0860315"
tt0193560,"nm0340112,nm0696895"
tt0193741,nm0764703
tt0193854,"nm0137548,nm0180912,nm0000380"
tt0194218,"nm0178251,nm0493662,nm0588850"
tt0194368,"nm0520519,nm0910241,nm0915918"
tt0195234,nm0189596
tt0195685,"nm0000362,nm0787834,nm0792049"
tt0195714,"nm0604688,nm0675013,nm0956015"
tt0195778,nm0295560
tt0195945,nm0001084
tt0196069,"nm0062362,nm0295016"
tt0196106,nm0283764
tt0196158,"nm0013351,nm0256542,nm0298915,nm0089502"
tt0196216,nm0235389
tt0196219,"nm0001384,nm0439844,nm0773542"
tt0196223,"nm0295032,nm0002622,nm0938066"
tt0196229,"nm0180366,nm0748784,nm0001774"
tt0196614,nm0257777
tt0196708,"nm0121117,nm0163335,nm0467977,nm0516850"
tt0196723,"nm0203246,nm0248971,nm0410540,nm0860315"
tt0196811,nm0125632
tt0197096,nm0852564
tt0197384,"nm0343419,nm0463025,nm0882927"
tt0197402,nm0237803
tt0197750,nm0872799
tt0198021,"nm0142134,nm0568730,nm0924357,nm0931285"
tt0198386,"nm0430742,nm0001756"
tt0198781,nm0026565
tt0199290,nm0608043
tt0199314,"nm0222754,nm0400782"
tt0199481,nm0233585
tt0199626,"nm0000173,nm0662435"
tt0199650,"nm0822609,nm0691061"
tt0199725,"nm0457757,nm0000490"
tt0199727,"nm0025823,nm0120987"
tt0199753,"nm0075732,nm0004799,nm0764822"
tt0199974,"nm0126653,nm0834806,nm0948292"
tt0200027,"nm0030572,nm0000985,nm0171780,nm0548257"
tt0200192,nm0307360
tt0200299,nm0374679
tt0200427,nm0169296
tt0200465,"nm0153893,nm0746273"
tt0200472,"nm0297209,nm0353187"
tt0200530,nm0339010
tt0200550,"nm0000988,nm0648288"
tt0200669,nm0580337
tt0200720,nm0829702
tt0201394,"nm0286320,nm0579117"
tt0201485,nm0169733
tt0201694,"nm0213612,nm0552693,nm0669117"
tt0201844,"nm0384862,nm0384863"
tt0201899,"nm0360964,nm0078473,nm0640964"
tt0202314,"nm0063470,nm0645949,nm0744985"
tt0202402,nm0771490
tt0202470,"nm0003993,nm0492994"
tt0202623,"nm0580890,nm0601031,nm0742580,nm0811225"
tt0202641,"nm0365478,nm0459754"
tt0202677,nm0463714
tt0203009,"nm0056236,nm0114213,nm0525303"
tt0203019,"nm0045927,nm0854052"
tt0203119,nm0859016
tt0203166,nm0433646
tt0203230,"nm0208381,nm0366363,nm0577134,nm1104170"
tt0203289,"nm0441209,nm0659309,nm0659313"
tt0203540,"nm0836548,nm0842899,nm0896097"
tt0203632,"nm0036155,nm1050782,nm0377041,nm0477949"
tt0203755,"nm0000140,nm0781910"
tt0203940,"nm0203246,nm0503600"
tt0203975,"nm0158861,nm0410540,nm0629190"
tt0204055,"nm0776886,nm0888200"
tt0204137,"nm0000114,nm0759627,nm0002989,nm0798930"
tt0204175,"nm1530021,nm0332069,nm0772003"
tt0204313,nm0732708
tt0204322,"nm0049718,nm0003931,nm0237431,nm2648119"
tt0204350,"nm0202982,nm0731396"
tt0204626,"nm0248178,nm0507900,nm0629190,nm0723450"
tt0204640,"nm0022285,nm0163049,nm0364787,nm0485553"
tt0204700,"nm0070300,nm0515510,nm0721097"
tt0204761,nm0104418
tt0204932,nm0433646
tt0204946,"nm0008953,nm0088536"
tt0205177,"nm0071564,nm0256960,nm0843365"
tt0205271,"nm0000265,nm0572906"
tt0205418,"nm0325374,nm0005161"
tt0205461,"nm0020150,nm0270467"
tt0205873,"nm0162274,nm0322467,nm0386651,nm0448088"
tt0206113,nm0928862
tt0206226,"nm0081161,nm0314695,nm0398895,nm0843494"
tt0206275,"nm0181202,nm0534574"
tt0206314,"nm0009190,nm0601031"
tt0206367,nm0646919
tt0206420,"nm0143179,nm0693561"
tt0206634,"nm0008953,nm0628080,nm0794892,nm0808498"
tt0206742,nm0659069
tt0206762,"nm0184016,nm0002385,nm0872657"
tt0206917,nm0791931
tt0206926,nm0570803
tt0206963,"nm0062071,nm0156819,nm0325553,nm0476066"
tt0207161,"nm0003253,nm0119287"
tt0207198,"nm0165361,nm0932731,nm0944230"
tt0207201,"nm0142134,nm0202704,nm0560033,nm0583600"
tt0207524,"nm0637602,nm0749257,nm0922919"
tt0208003,"nm0295560,nm0338171"
tt0208026,nm0147603
tt0208032,nm0147603
tt0208092,nm0891216
tt0208181,"nm0327900,nm0765250"
tt0208196,nm0832939
tt0208675,"nm0194569,nm0273327,nm0328379,nm0868492"
tt0208874,"nm0126653,nm0296827,nm0818657,nm0881703"
tt0208911,"nm0002567,nm0934668"
tt0208988,"nm0004799,nm0134635,nm0759627"
tt0208990,"nm0053184,nm1402055,nm1402153,nm1404814"
tt0208993,nm0548038
tt0209037,"nm0220652,nm0582898"
tt0209077,"nm0440413,nm0682177"
