tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt7599146,AT,Sound of Freedom,2023,131,"Biography,Crime,Drama",nm1920049,"nm6861701,nm1920049",7.6,114094
tt7600382,AU,Ride Like a Girl,2019,98,"Biography,Drama,Sport",nm0341737,"nm0460795,nm0566982",7.0,4677
tt7600704,AU,Boys vs. Girls,2019,81,Comedy,nm1618296,nm1618296,5.2,2829
tt7600706,CA,Perfect Nanny,2019,100,"Crime,Drama",nm1656178,"nm1656178,nm0005599,nm0494069,nm2489278",6.0,1658
tt7600716,AU,DNA,2020,90,Drama,nm0494069,"nm0218843,nm0494069",5.9,1359
tt7600742,AU,"Hallelujah: Leonard Cohen, a Journey, a Song",2021,118,"Biography,Documentary,Music","nm0002739,nm0325603","nm0002739,nm0325603",7.6,1296
tt7601480,AU,Major Grom: Plague Doctor,2021,136,"Action,Crime",nm8251673,"nm7896840,nm12490992,nm7896839,nm0453357,nm12490993,nm8257996,nm12490995,nm8251673,nm12490994",6.3,13582
tt7604948,CA,Gutterbug,2019,101,"Crime,Drama",nm4691454,"nm4691454,nm9400498",6.2,2833
tt7605074,AU,The Wandering Earth,2019,125,"Action,Adventure,Sci-Fi",nm4914792,"nm4069148,nm9400701,nm9400700,nm4914792,nm9400702,nm11089829,nm11224439,nm15736805,nm15736806,nm7286732,nm8824223",5.9,36334
tt7605922,AU,My Masterpiece,2018,100,"Comedy,Drama",nm1287124,"nm3321995,nm1287124",7.1,7308
tt7607940,AU,Namaste England,2018,141,"Comedy,Drama,Romance",nm1150959,"nm1330994,nm1937760",2.1,2997
tt7608028,AU,The Open House,2018,94,"Horror,Thriller","nm2460402,nm5547881","nm2460402,nm5547881",3.3,37025
tt7608418,AE,A Christmas Prince,2017,92,"Comedy,Family,Romance",nm0005618,"nm6912381,nm1405911",5.8,21893
tt7608534,AE,Christmas Inheritance,2017,104,"Comedy,Drama,Romance",nm0053228,nm7107839,5.7,13374
tt7609114,AU,Yamla Pagla Deewana Phir Se...,2018,145,"Action,Comedy,Drama",nm3221483,"nm3057599,nm2366632,nm10039092,nm9448203",4.4,1377
tt7609180,GB,Heart Blackened,2017,125,"Crime,Drama",nm0161242,"nm4394673,nm0161242",6.6,1066
tt7610008,DK,Secret Ingredient,2017,104,"Comedy,Drama",nm2754753,nm2754753,7.6,1364
tt7610196,AU,Do Women Have a Higher Sex Drive?,2018,70,Documentary,"nm4698308,nm9403746,nm8170400","nm4698308,nm8170400,nm9403746",5.4,3375
tt7611352,AU,Alive,2018,91,"Horror,Thriller",nm3166992,"nm1273785,nm1588263",5.3,1763
tt7612032,AU,Art of the Dead,2019,97,"Action,Comedy,Crime",nm0437490,"nm0437490,nm5666772,nm6497808",4.0,1828
tt7615052,AU,Daughter of the Wolf,2019,88,"Action,Thriller",nm0352524,nm0013049,4.5,8376
tt7615302,AE,Red Joan,2018,101,"Biography,Drama,History",nm0638080,"nm3002622,nm10405720",6.4,14421
tt7615722,GB,The Legend of Hallowaiian,2018,82,"Adventure,Animation,Family",nm2846368,"nm8289010,nm1075770,nm9980769,nm2846368,nm3762687",5.0,1558
tt7616148,AR,Luce,2019,109,"Drama,Mystery,Thriller",nm1564809,"nm6152442,nm1564809",6.6,15111
tt7616798,AE,A Dog's Way Home,2019,96,"Adventure,Drama,Family",nm0001747,"nm1240326,nm0585243",6.7,20106
tt7618184,AE,Mulk,2018,140,Drama,nm1025280,nm1025280,7.3,21627
tt7618604,AE,Patrick,2019,97,"Comedy,Drama,Mystery",nm2139803,"nm2139803,nm2130385",6.7,2521
tt7620554,AU,Loqueesha,2019,98,Comedy,nm0767688,nm0767688,1.6,1090
tt7624840,AU,Paharganj,2019,108,"Crime,Drama,Mystery",nm4533509,"nm4533509,nm4651166,nm9413392",3.8,2423
